stemword,times,origin words
disquiet,1,disquiets
code-bas,1,code-based
upper/low,1,upper/lower
transconjunctiv,1,transconjunctival
tartar,1,tartaric
anthron,1,anthrone
full-bodi,1,full-body
leadlik,1,leadlikeness
non-effect,1,non-effective
replicon,1,replicons
tumor-associ,1,tumor-associated
sarmahighlightsdetermin,1,sarmahighlightsdetermine
senior,1,seniors
corona-viru,1,corona-virus
pre-entri,1,pre-entry
-combin,1,-combined
time-of-addit,1,time-of-addition
molecular-confirm,1,molecular-confirmed
sub-classifi,1,sub-classified
neuro-oncolog,1,neuro-oncology
cranial/spin,1,cranial/spinal
routine/emerg,1,routine/emergency
succinctli,1,succinctly
altmetr,1,altmetric
coronacentr,1,coronacentral
anti-atherosclerosi,1,anti-atherosclerosis
anti-myocardi,1,anti-myocardial
phylogenom,1,phylogenomic
fade,1,fades
continue/discontinu,1,continue/discontinue
vaccine-develop,1,vaccine-development
father,1,fathers
abridg,1,abridged
non-norm,1,non-normally
vaccine-approv,1,vaccine-approval
apheresis-experienc,1,apheresis-experienced
-control,1,-controlled
mild-to-substanti,1,mild-to-substantial
years-of-ag,1,years-of-age
serum-deriv,1,serum-derived
spike-carri,1,spike-carrying
virally-infect,1,virally-infected
coivd-19-associ,1,coivd-19-associated
bacterial/allerg,1,bacterial/allergic
mucociliari,1,mucociliary
undergraduate-ag,1,undergraduate-aged
infection/exposur,1,infection/exposure
5'-untransl,1,5'-untranslated
rapidly-shift,1,rapidly-shifting
cost-intens,1,cost-intensive
acvi,1,acvis
fluorin,1,fluorine
acid-posit,1,acid-positive
nonimmunocompromis,1,nonimmunocompromised
cloud-bas,1,cloud-based
hemoadsorpt,1,hemoadsorption
co-endem,1,co-endemicity
migraine-lik,1,migraine-like
scenario-bas,1,scenario-based
march‒jun,1,march‒june
disease‒rel,1,disease‒related
usa‒specif,1,usa‒specific
non-small-cel,1,non-small-cell
proteins/pathway,1,proteins/pathways
'adipocytokin,1,'adipocytokine
'age-rag,1,'age-rage
s-n501i,1,s-n501y
capsid,1,capsids
mutation-specif,1,mutation-specific
self-contamin,1,self-contamination
vaccine.fundingn,1,vaccine.fundingnational
dress,1,dressing
piperin,1,piperine
antihypertens,1,antihypertensives
antiepilept,1,antiepileptics
lifestyle-rel,1,lifestyle-related
proteasom,1,proteasome
ubiquitination-independ,1,ubiquitination-independent
ubiquitin-proteasom,1,ubiquitin-proteasome
protac,1,protacs
dual-mut,1,dual-mutation
16-juli,1,16-july
reckon,1,reckoning
pyrococcu,1,pyrococcus
crown,1,crowned
hyperventil,1,hyperventilation
decondit,1,deconditioning
wheal,1,wheals
not-high-frequ,1,not-high-frequency
malef,1,malefic
high-concentr,1,high-concentration
testing-chang,1,testing-changes
water-clust,1,water-clustered
n2-neg,1,n2-negative
e-posit,1,e-positive
1-odd,1,1-odds
leptomening,1,leptomeninges
azid,1,azide
parálisi,1,parálisis
furiosu,1,furiosus
geometri,1,geometry
argonaut,1,argonaute
low-to-middle-incom,1,low-to-middle-income
hashom,1,hashomer
regularly-interspac,1,regularly-interspaced
coalescent-bas,1,coalescent-based
phase-wis,1,phase-wise
paralys,1,paralysing
genetic-materi,1,genetic-material
test.conclusionus,1,test.conclusionusing
r‑valu,1,r‑value
hydroxi,1,hydroxy
immune-bridg,1,immune-bridging
disease-induc,1,disease-induced
zidovudin,1,zidovudine
flash-scarc,1,flash-scarcity
placebo,1,placebos
sulfasalazin,1,sulfasalazine
moa,1,moas
cross-examin,1,cross-examined
recruiting/complet,1,recruiting/completed
np-specif,1,np-specific
cnb-conjug,1,cnb-conjugated
fragment-crystalliz,1,fragment-crystallizable
autophagy.abbrevi,1,autophagy.abbreviation
aminoquinolin,1,aminoquinoline
prison-associ,1,prison-associated
memory-lik,1,memory-like
16-octob,1,16-october
exposure-crossov,1,exposure-crossover
infodemiolog,1,infodemiology
outcome-rel,1,outcome-related
resuspens,1,resuspension
buck,1,bucking
ace2-highli,1,ace2-highly
macromolecul,1,macromolecules
non-immunocompromis,1,non-immunocompromised
dominantli,1,dominantly
kent/unit,1,kent/united
antigen-independ,1,antigen-independent
cloud-n,1,cloud-native
months.conclusionquantit,1,months.conclusionquantitative
assay.resultsoveral,1,assay.resultsoverall
anticoronavir,1,anticoronavirals
linol,1,linoleic
non-permiss,1,non-permissive
2-induc,1,2-induced
thrombogen,1,thrombogenic
intercontinent,1,intercontinental
coron,1,coroners
wayn,1,wayne
nashvil,1,nashville
ace2-fre,1,ace2-free
tucker-lewi,1,tucker-lewis
phosphoproteom,1,phosphoproteome
polyadenyl,1,polyadenylation
protein.import,1,protein.importance
d3dock,1,d3docking
membrane-fus,1,membrane-fusion
manpower-sav,1,manpower-saving
serine-typ,1,serine-type
meat-process,1,meat-processing
liquid-bas,1,liquid-based
insubsequ,1,insubsequent
biomodel,1,biomodels
mass-spectrometry-bas,1,mass-spectrometry-based
clinically-rel,1,clinically-related
acute-phas,1,acute-phase
sars-cov-s-medi,1,sars-cov-s-mediated
sars-cov-2-s-transfect,1,sars-cov-2-s-transfected
icosahedr,1,icosahedral
examined.immunosuppress,1,examined.immunosuppressed
protein-medi,1,protein-mediated
enzyme-catalyt,1,enzyme-catalytic
small-siz,1,small-size
route/rout,1,route/routes
univoc,1,univocal
disease-caus,1,disease-causing
demographic/clin,1,demographic/clinical
cpg-defici,1,cpg-deficient
familiari,1,familiaris
cani,1,canis
tauru,1,taurus
bo,1,bos
deamin,1,deaminates
polypeptide-lik,1,polypeptide-like
thrombocytopaen,1,thrombocytopaenic
theasymptomat,1,theasymptomatic
outskirt,1,outskirts
amager-hvidovr,1,amager-hvidovre
azelastin,1,azelastine
toremifen,1,toremifene
trimeprazin,1,trimeprazine
mozambiqu,1,mozambique
pre-amplif,1,pre-amplification
de-isol,1,de-isolation
self-consist,1,self-consistency
nonhomogen,1,nonhomogeneous
test.serolog,1,test.serologic
inffect,1,inffection
6800-base,1,6800-based
invalid-r,1,invalid-rate
2020.methodsparticip,1,2020.methodsparticipants
v-atpas,1,v-atpase
specialist-confirm,1,specialist-confirmed
albani,1,albany
long-await,1,long-awaited
outfit,1,outfitted
69/70-delet,1,69/70-deletion
liquoric,1,liquorice
β-cov-b,1,β-cov-bs
e484k-harbor,1,e484k-harboring
repel,1,repelling
acid-confirm,1,acid-confirmed
wettabl,1,wettability
enh,1,enhes
no,1,nos
leishmaniasi,1,leishmaniasis
er,1,ers
backgroundestim,1,backgroundestimates
unsynchron,1,unsynchronized
non-adequ,1,non-adequate
restitut,1,restitution
micropl,1,microplate
linearli,1,linearly
nanoplasmon,1,nanoplasmonic
connecticut-hav,1,connecticut-have
population-repres,1,population-representative
rnase,1,rnases
shaft,1,shafts
trim-and-fil,1,trim-and-fill
futil,1,futile
carboxymethylen,1,carboxymethylene
unappropri,1,unappropriated
polyphenylen,1,polyphenylene
microbicid,1,microbicide
still-evolv,1,still-evolving
hygen,1,hygene
cobas6800-bas,1,cobas6800-based
mtmb,1,mtmbs
reim,1,reims
intracutan,1,intracutaneous
mtbm,1,mtbms
ml-enhanc,1,ml-enhanced
mayott,1,mayotte
bifaci,1,bifacial
no-invas,1,no-invasive
map-deliv,1,map-delivered
infantil,1,infantile
fluorodeoxyglucos,1,fluorodeoxyglucose
/comput,1,/computed
high-contain,1,high-containment
chemo-immunotherapi,1,chemo-immunotherapy
map-medi,1,map-mediated
map-bas,1,map-based
worker–collect,1,worker–collected
uninocul,1,uninoculated
cross-sector,1,cross-sectoral
'valid,1,'validation
rt,1,rts
heparinis,1,heparinised
studies.methodsw,1,studies.methodswe
spike-pseudotyp,1,spike-pseudotyped
lehetség,1,lehetséges
ellen,1,ellene
koronavírusokk,1,koronavírusokkal
mesterség,1,mesterséges
természet,1,természetes
eredet,1,eredete
humánorvo,1,humánorvos
állatorvo,1,állatorvos
tanulmáni,1,tanulmány
összefogá,1,összefogás
globáli,1,globális
evolúció,1,evolúciós
humánorvoslá,1,humánorvoslás
néháni,1,néhány
bromhexin,1,bromhexine
meli,1,mely
mikrobaátadáss,1,mikrobaátadással
következmény,1,következményes
közelségb,1,közelségbe
veszély,1,veszélyes
pulmonology/med,1,pulmonology/medical
community-manag,1,community-managed
szoro,1,szoros
hospital-diagnos,1,hospital-diagnosed
hogi,1,hogy
felfedezés,1,felfedezése
mimet,1,mimetics
védekezé,1,védekezés
numbers.thi,1,numbers.this
therapist,1,therapists
cleans,1,cleansing
woodrat,1,woodrats
bushy-tail,1,bushy-tailed
peridomest,1,peridomestic
transmission.import,1,transmission.importance
viable-viru,1,viable-virus
cells-hav,1,cells-have
rna-guid,1,rna-guided
double-centr,1,double-centre
primer-medi,1,primer-mediated
polymicrobi,1,polymicrobial
5'-modifi,1,5'-modified
premenopaus,1,premenopausal
3'-modifi,1,3'-modified
'genet,1,'genetic
most-affect,1,most-affected
july-octob,1,july-october
fungicid,1,fungicidal
bactericid,1,bactericidal
overextend,1,overextending
manifes,1,manifesation
gade,1,gading
hopitalis,1,hopitalised
semisynthet,1,semisynthetic
numb,1,numbness
ploymeras,1,ploymerase
dine,1,dining
insecticid,1,insecticidal
likelihood,1,likelihoods
sequest,1,sequester
long,1,longings
prophylactic/therapeut,1,prophylactic/therapeutic
undisclos,1,undisclosed
qualtrics-bas,1,qualtrics-based
asymptomatic/presymptomat,1,asymptomatic/presymptomatic
mouth-nos,1,mouth-nose
telework,1,teleworking
mucosa,1,mucosae
research-n,1,research-national
implemented.area,1,implemented.areas
whole-blood-deriv,1,whole-blood-derived
anni,1,annie
string,1,strings
neoliber,1,neoliberal
'omic,1,'omics
griev,1,grieving
tattoo,1,tattoos
susceptible-exposed-infecti,1,susceptible-exposed-infectious
neuro-invas,1,neuro-invasive
pathognom,1,pathognomic
trans-synapse-connect,1,trans-synapse-connected
laboratory-identifi,1,laboratory-identified
•antipsychot,1,•antipsychotic
•inhibitor,1,•inhibitors
energet,1,energetic
pro-vir,1,pro-viral
structure-guid,1,structure-guided
fluids/secret,1,fluids/secretions
non-coronavirus,1,non-coronaviruses
workers/cas,1,workers/case
pac,1,pacs
receptionists/med,1,receptionists/medical
score-bas,1,score-based
voriconazol,1,voriconazole
ochraceu,1,ochraceus
molbiol/roch,1,molbiol/roche
20-februari,1,20-february
hr-base,1,hr-based
hepatomegali,1,hepatomegaly
drowsi,1,drowsiness
high-us,1,high-use
cold-caus,1,cold-causing
territorywid,1,territorywide
stigmat,1,stigmatization
catu,1,catus
monik,1,monikers
monopoli,1,monopoly
steric,1,sterically
mucoadhes,1,mucoadhesive
microchannel,1,microchannels
phylogenetic-bas,1,phylogenetic-based
proprieti,1,proprieties
diagnostic-confirm,1,diagnostic-confirmed
micro/nano-filt,1,micro/nano-filter
ouagadoug,1,ouagadougou
hospitali,1,hospitalier
hypertroph,1,hypertrophic
skunk,1,skunks
black-tail,1,black-tailed
patho-physiolog,1,patho-physiological
vaccinated.whil,1,vaccinated.while
uk,1,uks
influenza-associ,1,influenza-associated
iv,1,ivs
nonallerg,1,nonallergic
cdm,1,cdms
research/regulatori,1,research/regulatory
introductori,1,introductory
isp,1,ispe
cerevisiae-bas,1,cerevisiae-based
saccharomyc,1,saccharomyces
textbook-styl,1,textbook-style
sewage-deriv,1,sewage-derived
well-tailor,1,well-tailored
phage-dm,1,phage-dms
campaigns.th,1,campaigns.the
cadr,1,cadre
emergencies.th,1,emergencies.the
data-set,1,data-sets
groups.th,1,groups.the
problem-fre,1,problem-free
population.whil,1,population.while
fatigue/somnol,1,fatigue/somnolence
precision-bas,1,precision-based
apach,1,apache
grazi,1,grazie
dell,1,delle
mod,1,mods
proteome-wid,1,proteome-wide
template-switch,1,template-switching
mildly-affect,1,mildly-affected
cytopathogen,1,cytopathogenic
lymphocyte-deplet,1,lymphocyte-depleting
preinfect,1,preinfection
treatments-depend,1,treatments-depends
luxuri,1,luxury
fire,1,firing
n-seroposit,1,n-seropositive
operatori,1,operatory
well-prepar,1,well-prepared
rbd-seroposit,1,rbd-seropositive
n-base,1,n-based
pcr‐confirm,1,pcr‐confirmed
longtim,1,longtime
splice,1,splicing
respit,1,respite
wholesom,1,wholesome
patient-infect,1,patient-infected
entertain,1,entertainment
wi,1,wis
normalas,1,normalase
northshor,1,northshore
7-nucleotid,1,7-nucleotide
re-defin,1,re-defining
superad,1,superadded
well-contain,1,well-contained
new,1,newness
trs-independ,1,trs-independent
tr,1,trs
prairi,1,prairie
oxidas,1,oxidase
redun,1,reduning
transferas,1,transferases
underexplor,1,underexplored
cytokine-rel,1,cytokine-related
alveolar-interstiti,1,alveolar-interstitial
55year,1,55years
easy-to-dos,1,easy-to-dose
ibd,1,ibds
investigation.import,1,investigation.importance
host-microrna-medi,1,host-microrna-mediated
bat-cov,1,bat-covs
georeferenc,1,georeferenced
cytochrom,1,cytochrome
ready-mad,1,ready-made
shame,1,shameli
malayanu,1,malayanus
affini,1,affinis
acuminatu,1,acuminatus
α-helic,1,α-helical
protein-cod,1,protein-coding
tissuelik,1,tissuelike
venic,1,venice
modeling-bas,1,modeling-based
detection/quantif,1,detection/quantification
human-wildlif,1,human-wildlife
racoon,1,racoons
free-float,1,free-floating
additive-suppl,1,additive-supplemented
transcription-regul,1,transcription-regulating
monophosph,1,monophosphate
indict,1,indicted
userfriendli,1,userfriendly
semi-suscept,1,semi-susceptible
neuroinflammatori,1,neuroinflammatory
immune-system-modul,1,immune-system-modulating
immeasur,1,immeasurably
symmetri,1,symmetry
perquisit,1,perquisite
titter,1,titters
preoccup,1,preoccupation
redevelop,1,redeveloped
nhc-monophosph,1,nhc-monophosphate
5'-triphosph,1,5'-triphosphate
case-report,1,case-reports
molnupiravir-induc,1,molnupiravir-induced
β-d-n4-hydroxycytidin,1,β-d-n4-hydroxycytidine
point-of-care-test,1,point-of-care-testing
covid-19-afflict,1,covid-19-afflicted
clinin,1,clininal
citespac,1,citespace
throw,1,throws
overtak,1,overtake
highly-tout,1,highly-touted
anti-malarial/antibiot,1,anti-malarial/antibiotic
freshli,1,freshly
karl-fisch,1,karl-fischer
nano-lay,1,nano-layer
optical-chem,1,optical-chemical
warm,1,warming
dimeris,1,dimerisation
domain-bind,1,domain-binding
subepiderm,1,subepidermal
istrutt,1,istruttive
alcun,1,alcune
firenz,1,firenze
nightingal,1,nightingale
immagin,1,immagine
rappresentar,1,rappresentare
d484i,1,d484y
self-consci,1,self-conscious
solstic,1,solstice
near-ident,1,near-identical
effects.•curr,1,effects.•currently
neighbor-join,1,neighbor-joining
yet.•combin,1,yet.•combination
limitations.•th,1,limitations.•the
covid-19.•studi,1,covid-19.•studies
pre-incub,1,pre-incubation
boom,1,booming
re-apprais,1,re-appraisal
permeat,1,permeation
sputum.ther,1,sputum.there
area-under-curv,1,area-under-curve
aspartate-aminotransferas,1,aspartate-aminotransferase
alanine-aminotransferas,1,alanine-aminotransferase
activated-partial-thromboplastin-tim,1,activated-partial-thromboplastin-time
uv-inactiv,1,uv-inactivated
maximum-parsimoni,1,maximum-parsimony
quat,1,quats
neonatal/perinat,1,neonatal/perinatal
public-transport,1,public-transportation
chemically-divers,1,chemically-diverse
densitometri,1,densitometry
re-extract,1,re-extraction
vitt-associ,1,vitt-associated
forget,1,forgetting
cell-culture-gener,1,cell-culture-generated
roll-to-rol,1,roll-to-roll
as-identifi,1,as-identified
reverse-transcription-polymerase-chain-react,1,reverse-transcription-polymerase-chain-reaction
heparin-tr,1,heparin-treated
postag,1,postage
learning-deriv,1,learning-derived
sars-cov-2,1,sars-cov-2s
ards-rel,1,ards-related
two-phas,1,two-phase
21-septemb,1,21-september
microembol,1,microembolic
cubit,1,cubital
sheath,1,sheaths
synovi,1,synovial
cell-entry-inhibit,1,cell-entry-inhibiting
polyphylet,1,polyphyletic
ever-evolv,1,ever-evolving
intactli,1,intactly
fidel,1,fidelity
microdroplet,1,microdroplets
air-condit,1,air-conditioning
study.studi,1,study.study
proposon,1,proposons
non-homolog,1,non-homologous
co-cryst,1,co-crystal
professionnel,1,professionnels
tou,1,tous
porté,1,portée
insomni,1,insomnie
nécessair,1,nécessaires
outil,1,outils
psychologiqu,1,psychologique
équilibr,1,équilibre
difficulté,1,difficultés
faill,1,faille
aucun,1,aucune
monocarboxypeptidas,1,monocarboxypeptidase
croissanc,1,croissance
entr,1,entre
sommeil/insomni,1,sommeil/insomnie
scientifiqu,1,scientifiques
notr,1,notre
risqu,1,risque
immune-enhanc,1,immune-enhancement
long-term,1,long-terme
conséquenc,1,conséquences
psychiatriqu,1,psychiatriques
développ,1,développer
relié,1,reliés
2019-ncov.commun,1,2019-ncov.communicated
vasodilatori,1,vasodilatory
zhuy,1,zhuye
betacoronavirida,1,betacoronaviridae
nourish,1,nourishing
weij,1,weijing
asymptomatic-thi,1,asymptomatic-this
yangm,1,yangming
re-recogn,1,re-recognized
receptor-modifi,1,receptor-modified
immune-depress,1,immune-depressed
aerosol-transmiss,1,aerosol-transmissible
wander,1,wandering
unchart,1,uncharted
neuroimmun,1,neuroimmune
widely-applic,1,widely-applicable
cell-to-cel,1,cell-to-cell
antihypertroph,1,antihypertrophic
clariv,1,clarivate
sanguin,1,sanguine
cell-cycl,1,cell-cycle
work-associ,1,work-associated
em-lik,1,em-like
chilblains-lik,1,chilblains-like
subcategor,1,subcategorized
internist,1,internists
negative-convers,1,negative-conversion
nasopharyngeal/or,1,nasopharyngeal/oral
inhibitors/arb,1,inhibitors/arbs
counterbal,1,counterbalances
blind-test,1,blind-testing
section.result,1,section.results
temp,1,temps
overview,1,overviewed
huh-7cel,1,huh-7cells
na-bas,1,na-based
reignit,1,reignited
antiviral-resist,1,antiviral-resistant
labour-intens,1,labour-intensive
brew,1,brewing
exot,1,exotic
sars-related-cov,1,sars-related-covs
1894-plagu,1,1894-plague
microcontrol,1,microcontroller
optoelectron,1,optoelectronics
reestablish,1,reestablishing
proteomics-bas,1,proteomics-based
drugs/compound,1,drugs/compounds
tester,1,testers
opson,1,opsonized
perivil,1,perivillous
favipiravir-contain,1,favipiravir-containing
paralyz,1,paralyzing
incapacit,1,incapacitating
spatial,1,spatially
multiplexed-chimer,1,multiplexed-chimeric
intervil,1,intervillous
deg,1,degs
subchorion,1,subchorionic
massachusset,1,massachussets
repeats-crispr-associ,1,repeats-crispr-associated
embryo-specif,1,embryo-specific
time-intens,1,time-intensive
oral-fec,1,oral-fecal
non‑expens,1,non‑expensive
‑coronaviru,1,‑coronavirus
rna‑polymeras,1,rna‑polymerase
rna‑depend,1,rna‑dependent
flu-rel,1,flu-related
respiratory-born,1,respiratory-borne
influenza-rel,1,influenza-related
imperfectli,1,imperfectly
aie,1,aied
menièr,1,menière
posttranscript,1,posttranscriptional
virus-encod,1,virus-encoded
cf-relat,1,cf-related
paper-shar,1,paper-sharing
quasi-speci,1,quasi-species
ancestri,1,ancestry
ht,1,hts
first-time-test,1,first-time-tested
hyperecho,1,hyperechoic
natura,1,naturae
exfoli,1,exfoliation
inclusion/exclus,1,inclusion/exclusion
flip,1,flipped
meta-synthesi,1,meta-synthesis
presenti,1,presential
lc-m,1,lc-ms
meld,1,melding
serological-bas,1,serological-based
covid-19.conclus,1,covid-19.conclusions
anti-infect,1,anti-infective
repuls,1,repulsion
histon,1,histones
polyc,1,polycations
parenter,1,parenteral
capryl,1,caprylic
envenom,1,envenomations
ncp-base,1,ncp-based
quinolon,1,quinolones
endocyt,1,endocytic
cytomet,1,cytometers
multibranch,1,multibranched
mcm,1,mcms
psychobiolog,1,psychobiological
polyanion,1,polyanions
biotin-conjug,1,biotin-conjugated
protein/angiotensin-convert,1,protein/angiotensin-converting
chromosom,1,chromosome
viral-medi,1,viral-mediated
riemann-liouvil,1,riemann-liouville
systemwid,1,systemwide
aerosol-protect,1,aerosol-protective
streptavidin-co,1,streptavidin-coated
thyrotoxicosi,1,thyrotoxicosis
implementation/compli,1,implementation/compliance
biotin-label,1,biotin-labeled
nonwork,1,nonworking
opsonin-medi,1,opsonin-mediated
heparinoid,1,heparinoids
m-lm,1,m-lms
germany-wid,1,germany-wide
body.hav,1,body.having
hcov-specif,1,hcov-specific
2'-o-mtas,1,2'-o-mtase
covid/normal/viral/bacteri,1,covid/normal/viral/bacterial
covid/bacteri,1,covid/bacterial
covid/vir,1,covid/viral
covid/norm,1,covid/normal
gradient-bas,1,gradient-based
covxnet,1,covxnets
allay,1,allaying
positive/suspici,1,positive/suspicious
istiny,1,istinye
immune/inflammatori,1,immune/inflammatory
immunosuppressive/immunomodul,1,immunosuppressive/immunomodulating
hyperperm,1,hyperpermeability
villou,1,villous
results/discuss,1,results/discussion
transcriptionpolymeras,1,transcriptionpolymerase
abrupt,1,abruption
mink-virus,1,mink-viruses
mink-deriv,1,mink-derived
mink-viru,1,mink-virus
chorangiosi,1,chorangiosis
sars-cov-2-lik,1,sars-cov-2-like
chiefli,1,chiefly
hcw-to-pati,1,hcw-to-patient
traumatiqu,1,traumatique
surven,1,survenant
non-mechanist,1,non-mechanistic
nucleoside/nucleotid,1,nucleoside/nucleotide
syndrome/cytokin,1,syndrome/cytokine
androgen,1,androgens
blood-testi,1,blood-testis
production-rel,1,production-related
hantaviru,1,hantavirus
load-burden,1,load-burdened
'countri,1,'country
kaggl,1,kaggle
extra-tre,1,extra-trees
'isol,1,'isolated
'recov,1,'recovered
recently-emerg,1,recently-emerged
-6-fluoro-3-hydroxypyrazine-2-carboxamid,1,-6-fluoro-3-hydroxypyrazine-2-carboxamide
waterborn,1,waterborne
4-cyanobenzyliden,1,4-cyanobenzylidene
anti-sars-cov-2-spik,1,anti-sars-cov-2-spike
neurolept,1,neuroleptic
stroke,1,strokes
etiquett,1,etiquette
covid-19–rel,1,covid-19–related
excessive/dysregul,1,excessive/dysregulated
non-sil,1,non-silent
coronavirus-medi,1,coronavirus-mediated
adrenerg,1,adrenergic
anthracyclin,1,anthracycline
post-transloc,1,post-translocated
near-optim,1,near-optimal
hypercontractil,1,hypercontractile
activation-depend,1,activation-dependent
eurotranspl,1,eurotransplant
abbvi,1,abbvie
oropharyngeal/nar,1,oropharyngeal/nares
co-regul,1,co-regulated
hyposplen,1,hyposplenic
asplen,1,asplenic
atrophi,1,atrophy
conjunctiva/lid,1,conjunctiva/lids
inhalation-bas,1,inhalation-based
heparin-bind,1,heparin-binding
spike-glycoconjug,1,spike-glycoconjugates
htv,1,htvs
world-approv,1,world-approved
hepato-pancreato-biliari,1,hepato-pancreato-biliary
mid-ap,1,mid-apical
epidemic-associ,1,epidemic-associated
humanist,1,humanistic
tfh-mediat,1,tfh-mediated
non-pool,1,non-pooled
vaccine-sid,1,vaccine-side
non-recombin,1,non-recombinant
ratg13-lik,1,ratg13-like
immunoprob,1,immunoprobe
location-depend,1,location-dependent
catecholamin,1,catecholamine
subepicardi,1,subepicardial
balloon,1,ballooning
proliferation-rel,1,proliferation-related
groundwat,1,groundwater
recombinogen,1,recombinogenic
fertőzés,1,fertőzéses
'virus-lik,1,'virus-like
mastectomi,1,mastectomy
antihormon,1,antihormonal
loco-region,1,loco-regionally
együtt,1,együttes
multidiszciplinári,1,multidiszciplináris
optimalizálásáv,1,optimalizálásával
egyénr,1,egyénre
eltéré,1,eltérés
koronavírus-fertőzés,1,koronavírus-fertőzése
pozitivitá,1,pozitivitás
tünetment,1,tünetmentes
g-csf-profilaxi,1,g-csf-profilaxis
accustom,1,accustomed
kemoterápiá,1,kemoterápiás
sars-cov-2-fertőzés,1,sars-cov-2-fertőzése
enyh,1,enyhe
open-clos,1,open-close
szisztémá,1,szisztémás
késlekedv,1,késlekedve
éve,1,éves
vagi,1,vagy
citotoxiku,1,citotoxikus
replication/transcript,1,replication/transcription
remote-assist,1,remote-assistance
insolubl,1,insoluble
microscopist,1,microscopists
micrograph,1,micrographs
light-cycl,1,light-cycler
university-ag,1,university-age
-ha,1,-has
-term,1,-termed
faro,1,faroe
funer,1,funeral
rudimentari,1,rudimentary
unhygien,1,unhygienic
vend,1,vending
vector-medi,1,vector-mediated
aquacultur,1,aquaculture
salad,1,salads
vegetatbl,1,vegetatble
post-test,1,post-testing
supposedli,1,supposedly
electron-dens,1,electron-dense
non-randomis,1,non-randomised
viehmann-w,1,viehmann-wical
shred,1,shreds
sinusoidal-cel,1,sinusoidal-cell
nonparenchym,1,nonparenchymal
sidarth,1,sidarthe
ehealth-rel,1,ehealth-related
ai-bas,1,ai-based
hemoperfus,1,hemoperfusion
academician,1,academicians
pace,1,paces
awareness-attitud,1,awareness-attitude
blame,1,blamed
alignment-bas,1,alignment-based
passé,1,passées
complement-trigg,1,complement-triggered
thermo-cycl,1,thermo-cycling
thiol-modifi,1,thiol-modified
multi-microelectrod,1,multi-microelectrode
ellag,1,ellagic
caffein,1,caffeine
6nu,1,6nus
friedelanon,1,friedelanone
anthraquinon,1,anthraquinones
hardwicki,1,hardwickiic
acetylursol,1,acetylursolic
clemizol,1,clemizole
dna-depend,1,dna-dependent
biosampl,1,biosamples
'crise,1,'crises
biolab,1,biolabs
undistinguish,1,undistinguishable
non-seg,1,non-segmented
concordant-posit,1,concordant-positive
tubes-contain,1,tubes-containing
gram-neg,1,gram-negative
lab-confirm,1,lab-confirmed
fellowship-train,1,fellowship-trained
pharmacology-bas,1,pharmacology-based
sarcoidosi,1,sarcoidosis
granuloma,1,granulomas
sarcoid-typ,1,sarcoid-type
specimen-pool,1,specimen-pooling
splash,1,splashes
photocoagul,1,photocoagulation
periextub,1,periextubation
tragédi,1,tragédies
cinema,1,cinemas
glycoproteinbas,1,glycoproteinbased
nsp2-s512i,1,nsp2-s512y
on-cal,1,on-call
laboratory-neg,1,laboratory-negative
epifactor,1,epifactors
drug-bas,1,drug-based
17-februari,1,17-february
risk-gen,1,risk-genes
gwa,1,gwas
inter-individu,1,inter-individual
mouth,1,mouths
rapid-test,1,rapid-tested
hallway,1,hallways
contact-rel,1,contact-related
bailli,1,baillie
non-intens,1,non-intensive
non-posit,1,non-positive
low-abund,1,low-abundance
sculpt,1,sculpting
lioniz,1,lionized
the-count,1,the-counter
-accredit,1,-accredited
kits.result,1,kits.results
measures.hypothesi,1,measures.hypothesis
noncas,1,noncaseating
ntd-specif,1,ntd-specific
nontriag,1,nontriaged
micro-comput,1,micro-computed
avian,1,avians
mammalian,1,mammalians
hace2/hi,1,hace2/his
s1/s2/hi,1,s1/s2/his
s1/hi,1,s1/his
rbd/hi,1,rbd/his
health-care-work,1,health-care-worker
mauric,1,maurice
expasi,1,expasy
online/mobil,1,online/mobile
pointer,1,pointers
unconjug,1,unconjugated
bnt162b2-elicit,1,bnt162b2-elicited
gonad,1,gonads
heat-bas,1,heat-based
estate-lead,1,estate-leaders
comprehend,1,comprehends
lower-than-cor,1,lower-than-core
high-profil,1,high-profile
cytoplasm,1,cytoplasmic
under-investig,1,under-investigational
acceptable/minim,1,acceptable/minimal
ideal/optim,1,ideal/optimal
protein/virus-lik,1,protein/virus-like
donor-match,1,donor-matched
anti-speci,1,anti-species
autopt,1,autoptic
high-efficaci,1,high-efficacy
isolate-bas,1,isolate-based
embassi,1,embassy
extra-hospit,1,extra-hospital
spectrophotometri,1,spectrophotometry
kit-independ,1,kit-independent
overstretch,1,overstretched
locations/hotspot,1,locations/hotspots
dseas,1,dsease
thread,1,threading
nuclease-protect,1,nuclease-protection
stimulatori,1,stimulatory
sit,1,sits
mode.result,1,mode.results
leprosi,1,leprosy
island.method,1,island.methods
cold-lik,1,cold-like
assidu,1,assiduous
non-adapt,1,non-adaptive
acceptor-label,1,acceptor-labeled
sinter,1,sintered
np-base,1,np-based
rail,1,railings
nation-wis,1,nation-wise
mismanag,1,mismanagement
testing.import,1,testing.importance
life-cours,1,life-course
whole-of-lif,1,whole-of-life
arcsin,1,arcsine
available-ar,1,available-are
influenza/hepat,1,influenza/hepatitis
two-por,1,two-pore
génétiqu,1,génétiques
prioritair,1,prioritaires
